,lot_lotsize1,lot_lotsize2,lot_pooltype,area_blockNum,area_subdname,area_taxcodearea,address_line1,address_locality,address_postal2,address_postal3,location_accuracy,location_geoIdV4_CO,summary_proptype,summary_propertyType,summary_yearbuilt,summary_propIndicator,utilities_heatingtype,building_size_bldgsize,building_size_grosssize,building_size_grosssizeadjusted,building_size_livingsize,building_size_sizeInd,building_size_universalsize,building_rooms_bathsfull,building_rooms_bathstotal,building_interior_bsmtsize,building_interior_bsmttype,building_interior_fplcind,building_interior_fplctype,building_construction_constructiontype,building_construction_roofcover,building_construction_roofShape,building_construction_wallType,building_parking_garagetype,building_parking_prkgSize,building_parking_prkgSpaces,building_parking_prkgType,building_summary_archStyle,building_summary_bldgType,building_summary_imprType,building_summary_levels,building_summary_quality,building_summary_storyDesc,building_summary_viewCode,sale_amount_saletranstype,sale_amount_saleamt,sale_calculation_pricepersizeunit
279,0.55,6900,POOL,9,Subdivision 4,TX2,1179 Main St,City9,ZIP2-79,ZIP3-29,ROOFTOP,CO179,Condo,Residential,1979,Y,Electric,1358,1558,1458,1308,Actual,1408,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,279.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,279000.0,129.0
280,0.1,7000,NO POOL,0,Subdivision 0,TX0,1180 Main St,City0,ZIP2-80,ZIP3-30,ROOFTOP,CO180,Single Family,Residential,1980,N,Gas,1360,1560,1460,1310,Actual,1410,2,2.5,0.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,280.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,280000.0,100.0
281,0.15,7100,POOL,1,Subdivision 1,TX1,1181 Main St,City1,ZIP2-81,ZIP3-31,ROOFTOP,CO181,Condo,Residential,1981,Y,Electric,1362,1562,1462,1312,Actual,1412,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,281.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,281000.0,101.0
282,0.2,7200,NO POOL,2,Subdivision 2,TX2,1182 Main St,City2,ZIP2-82,ZIP3-32,ROOFTOP,CO182,Single Family,Residential,1982,Y,Electric,1364,1564,1464,1314,Actual,1414,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,282.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,282000.0,102.0
283,0.25,7300,POOL,3,Subdivision 3,TX0,1183 Main St,City3,ZIP2-83,ZIP3-33,ROOFTOP,CO183,Condo,Residential,1983,Y,Gas,1366,1566,1466,1316,Actual,1416,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,283.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,283000.0,103.0
284,0.3,7400,NO POOL,4,Subdivision 4,TX1,1184 Main St,City4,ZIP2-84,ZIP3-34,ROOFTOP,CO184,Single Family,Residential,1984,Y,Electric,1368,1568,1468,1318,Actual,1418,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,284.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,284000.0,104.0
285,0.35,7500,POOL,5,Subdivision 0,TX2,1185 Main St,City5,ZIP2-85,ZIP3-35,ROOFTOP,CO185,Condo,Residential,1985,Y,Electric,1370,1570,1470,1320,Actual,1420,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,285.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,285000.0,105.0
286,0.4,7600,NO POOL,6,Subdivision 1,TX0,1186 Main St,City6,ZIP2-86,ZIP3-36,ROOFTOP,CO186,Single Family,Residential,1986,Y,Gas,1372,1572,1472,1322,Actual,1422,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,286.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,286000.0,106.0
287,0.45,7700,POOL,7,Subdivision 2,TX1,1187 Main St,City7,ZIP2-87,ZIP3-37,ROOFTOP,CO187,Condo,Residential,1987,Y,Electric,1374,1574,1474,1324,Actual,1424,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,287.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,287000.0,107.0
288,0.5,7800,NO POOL,8,Subdivision 3,TX2,1188 Main St,City8,ZIP2-88,ZIP3-38,ROOFTOP,CO188,Single Family,Residential,1988,Y,Electric,1376,1576,1476,1326,Actual,1426,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,288.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,288000.0,108.0
289,0.55,7900,POOL,9,Subdivision 4,TX0,1189 Main St,City9,ZIP2-89,ZIP3-39,ROOFTOP,CO189,Condo,Residential,1989,Y,Gas,1378,1578,1478,1328,Actual,1428,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,289.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,289000.0,109.0
290,0.1,8000,NO POOL,0,Subdivision 0,TX1,1190 Main St,City0,ZIP2-90,ZIP3-40,ROOFTOP,CO190,Single Family,Residential,1990,N,Electric,1380,1580,1480,1330,Actual,1430,3,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,290.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,290000.0,110.0
291,0.15,8100,POOL,1,Subdivision 1,TX2,1191 Main St,City1,ZIP2-91,ZIP3-41,ROOFTOP,CO191,Condo,Residential,1991,Y,Electric,1382,1582,1482,1332,Actual,1432,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,291.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,291000.0,111.0
292,0.2,8200,NO POOL,2,Subdivision 2,TX0,1192 Main St,City2,ZIP2-92,ZIP3-42,ROOFTOP,CO192,Single Family,Residential,1992,Y,Gas,1384,1584,1484,1334,Actual,1434,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,292.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,292000.0,112.0
293,0.25,8300,POOL,3,Subdivision 3,TX1,1193 Main St,City3,ZIP2-93,ZIP3-43,ROOFTOP,CO193,Condo,Residential,1993,Y,Electric,1386,1586,1486,1336,Actual,1436,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,293.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,293000.0,113.0
294,0.3,8400,NO POOL,4,Subdivision 4,TX2,1194 Main St,City4,ZIP2-94,ZIP3-44,ROOFTOP,CO194,Single Family,Residential,1994,Y,Electric,1388,1588,1488,1338,Actual,1438,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,294.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,294000.0,114.0
295,0.35,8500,POOL,5,Subdivision 0,TX0,1195 Main St,City5,ZIP2-95,ZIP3-45,ROOFTOP,CO195,Condo,Residential,1995,Y,Gas,1390,1590,1490,1340,Actual,1440,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,295.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,295000.0,115.0
296,0.4,8600,NO POOL,6,Subdivision 1,TX1,1196 Main St,City6,ZIP2-96,ZIP3-46,ROOFTOP,CO196,Single Family,Residential,1996,Y,Electric,1392,1592,1492,1342,Actual,1442,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,296.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,296000.0,116.0
297,0.45,8700,POOL,7,Subdivision 2,TX2,1197 Main St,City7,ZIP2-97,ZIP3-47,ROOFTOP,CO197,Condo,Residential,1997,Y,Electric,1394,1594,1494,1344,Actual,1444,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,297.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,297000.0,117.0
298,0.5,8800,NO POOL,8,Subdivision 3,TX0,1198 Main St,City8,ZIP2-98,ZIP3-48,ROOFTOP,CO198,Single Family,Residential,1998,Y,Gas,1396,1596,1496,1346,Actual,1446,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,298.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,298000.0,118.0
299,0.55,8900,POOL,9,Subdivision 4,TX1,1199 Main St,City9,ZIP2-99,ZIP3-49,ROOFTOP,CO199,Condo,Residential,1999,Y,Electric,1398,1598,1498,1348,Actual,1448,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,299.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,299000.0,119.0
300,0.1,4000,NO POOL,0,Subdivision 0,TX2,1200 Main St,City0,ZIP2-0,ZIP3-0,ROOFTOP,CO200,Single Family,Residential,2000,N,Electric,1400,1600,1500,1350,Actual,1450,4,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,200.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,300000.0,120.0
301,0.15,4100,POOL,1,Subdivision 1,TX0,1201 Main St,City1,ZIP2-1,ZIP3-1,ROOFTOP,CO201,Condo,Residential,2001,Y,Gas,1402,1602,1502,1352,Actual,1452,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,201.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,301000.0,121.0
302,0.2,4200,NO POOL,2,Subdivision 2,TX1,1202 Main St,City2,ZIP2-2,ZIP3-2,ROOFTOP,CO202,Single Family,Residential,2002,Y,Electric,1404,1604,1504,1354,Actual,1454,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,202.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,302000.0,122.0
303,0.25,4300,POOL,3,Subdivision 3,TX2,1203 Main St,City3,ZIP2-3,ZIP3-3,ROOFTOP,CO203,Condo,Residential,2003,Y,Electric,1406,1606,1506,1356,Actual,1456,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,203.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,303000.0,123.0
304,0.3,4400,NO POOL,4,Subdivision 4,TX0,1204 Main St,City4,ZIP2-4,ZIP3-4,ROOFTOP,CO204,Single Family,Residential,2004,Y,Gas,1408,1608,1508,1358,Actual,1458,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,204.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,304000.0,124.0
305,0.35,4500,POOL,5,Subdivision 0,TX1,1205 Main St,City5,ZIP2-5,ZIP3-5,ROOFTOP,CO205,Condo,Residential,2005,Y,Electric,1410,1610,1510,1360,Actual,1460,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,205.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,305000.0,125.0
306,0.4,4600,NO POOL,6,Subdivision 1,TX2,1206 Main St,City6,ZIP2-6,ZIP3-6,ROOFTOP,CO206,Single Family,Residential,2006,Y,Electric,1412,1612,1512,1362,Actual,1462,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,206.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,306000.0,126.0
307,0.45,4700,POOL,7,Subdivision 2,TX0,1207 Main St,City7,ZIP2-7,ZIP3-7,ROOFTOP,CO207,Condo,Residential,2007,Y,Gas,1414,1614,1514,1364,Actual,1464,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,207.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,307000.0,127.0
308,0.5,4800,NO POOL,8,Subdivision 3,TX1,1208 Main St,City8,ZIP2-8,ZIP3-8,ROOFTOP,CO208,Single Family,Residential,2008,Y,Electric,1416,1616,1516,1366,Actual,1466,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,208.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,308000.0,128.0
309,0.55,4900,POOL,9,Subdivision 4,TX2,1209 Main St,City9,ZIP2-9,ZIP3-9,ROOFTOP,CO209,Condo,Residential,2009,Y,Electric,1418,1618,1518,1368,Actual,1468,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,209.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,309000.0,129.0
310,0.1,5000,NO POOL,0,Subdivision 0,TX0,1210 Main St,City0,ZIP2-10,ZIP3-10,ROOFTOP,CO210,Single Family,Residential,2010,N,Gas,1420,1620,1520,1370,Actual,1470,2,2.5,500.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,210.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,310000.0,100.0
311,0.15,5100,POOL,1,Subdivision 1,TX1,1211 Main St,City1,ZIP2-11,ZIP3-11,ROOFTOP,CO211,Condo,Residential,2011,Y,Electric,1422,1622,1522,1372,Actual,1472,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,211.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,311000.0,101.0
312,0.2,5200,NO POOL,2,Subdivision 2,TX2,1212 Main St,City2,ZIP2-12,ZIP3-12,ROOFTOP,CO212,Single Family,Residential,2012,Y,Electric,1424,1624,1524,1374,Actual,1474,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,212.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,312000.0,102.0
313,0.25,5300,POOL,3,Subdivision 3,TX0,1213 Main St,City3,ZIP2-13,ZIP3-13,ROOFTOP,CO213,Condo,Residential,2013,Y,Gas,1426,1626,1526,1376,Actual,1476,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,213.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,313000.0,103.0
314,0.3,5400,NO POOL,4,Subdivision 4,TX1,1214 Main St,City4,ZIP2-14,ZIP3-14,ROOFTOP,CO214,Single Family,Residential,2014,Y,Electric,1428,1628,1528,1378,Actual,1478,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,214.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,314000.0,104.0
315,0.35,5500,POOL,5,Subdivision 0,TX2,1215 Main St,City5,ZIP2-15,ZIP3-15,ROOFTOP,CO215,Condo,Residential,2015,Y,Electric,1430,1630,1530,1380,Actual,1480,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,215.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,315000.0,105.0
316,0.4,5600,NO POOL,6,Subdivision 1,TX0,1216 Main St,City6,ZIP2-16,ZIP3-16,ROOFTOP,CO216,Single Family,Residential,2016,Y,Gas,1432,1632,1532,1382,Actual,1482,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,216.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,316000.0,106.0
317,0.45,5700,POOL,7,Subdivision 2,TX1,1217 Main St,City7,ZIP2-17,ZIP3-17,ROOFTOP,CO217,Condo,Residential,2017,Y,Electric,1434,1634,1534,1384,Actual,1484,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,217.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,317000.0,107.0
318,0.5,5800,NO POOL,8,Subdivision 3,TX2,1218 Main St,City8,ZIP2-18,ZIP3-18,ROOFTOP,CO218,Single Family,Residential,2018,Y,Electric,1436,1636,1536,1386,Actual,1486,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,218.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,318000.0,108.0
319,0.55,5900,POOL,9,Subdivision 4,TX0,1219 Main St,City9,ZIP2-19,ZIP3-19,ROOFTOP,CO219,Condo,Residential,2019,Y,Gas,1438,1638,1538,1388,Actual,1488,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,219.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,319000.0,109.0
320,0.1,6000,NO POOL,0,Subdivision 0,TX1,1220 Main St,City0,ZIP2-20,ZIP3-20,ROOFTOP,CO220,Single Family,Residential,2020,N,Electric,1440,1640,1540,1390,Actual,1490,3,2.5,0.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,220.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,320000.0,110.0
321,0.15,6100,POOL,1,Subdivision 1,TX2,1221 Main St,City1,ZIP2-21,ZIP3-21,ROOFTOP,CO221,Condo,Residential,2021,Y,Electric,1442,1642,1542,1392,Actual,1492,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,221.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,321000.0,111.0
322,0.2,6200,NO POOL,2,Subdivision 2,TX0,1222 Main St,City2,ZIP2-22,ZIP3-22,ROOFTOP,CO222,Single Family,Residential,2022,Y,Gas,1444,1644,1544,1394,Actual,1494,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,222.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,322000.0,112.0
323,0.25,6300,POOL,3,Subdivision 3,TX1,1223 Main St,City3,ZIP2-23,ZIP3-23,ROOFTOP,CO223,Condo,Residential,2023,Y,Electric,1446,1646,1546,1396,Actual,1496,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,223.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,323000.0,113.0
324,0.3,6400,NO POOL,4,Subdivision 4,TX2,1224 Main St,City4,ZIP2-24,ZIP3-24,ROOFTOP,CO224,Single Family,Residential,2024,Y,Electric,1448,1648,1548,1398,Actual,1498,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,224.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,324000.0,114.0
325,0.35,6500,POOL,5,Subdivision 0,TX0,1225 Main St,City5,ZIP2-25,ZIP3-25,ROOFTOP,CO225,Condo,Residential,1950,Y,Gas,1450,1650,1550,1400,Actual,1500,2,3.0,500.0,Finished,Y,Gas,Frame,Asphalt,Gable,Siding,Attached,225.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,325000.0,115.0
326,0.4,6600,NO POOL,6,Subdivision 1,TX1,1226 Main St,City6,ZIP2-26,ZIP3-26,ROOFTOP,CO226,Single Family,Residential,1951,Y,Electric,1452,1652,1552,1402,Actual,1502,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,226.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,326000.0,116.0
327,0.45,6700,POOL,7,Subdivision 2,TX2,1227 Main St,City7,ZIP2-27,ZIP3-27,ROOFTOP,CO227,Condo,Residential,1952,Y,Electric,1454,1654,1554,1404,Actual,1504,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,227.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,327000.0,117.0
328,0.5,6800,NO POOL,8,Subdivision 3,TX0,1228 Main St,City8,ZIP2-28,ZIP3-28,ROOFTOP,CO228,Single Family,Residential,1953,Y,Gas,1456,1656,1556,1406,Actual,1506,2,2.5,0.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,228.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,328000.0,118.0
329,0.55,6900,POOL,9,Subdivision 4,TX1,1229 Main St,City9,ZIP2-29,ZIP3-29,ROOFTOP,CO229,Condo,Residential,1954,Y,Electric,1458,1658,1558,1408,Actual,1508,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,229.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,329000.0,119.0
330,0.1,7000,NO POOL,0,Subdivision 0,TX2,1230 Main St,City0,ZIP2-30,ZIP3-30,ROOFTOP,CO230,Single Family,Residential,1955,N,Electric,1460,1660,1560,1410,Actual,1510,4,2.5,500.0,Unfinished,Y,Wood,Frame,Asphalt,Gable,Siding,Detached,230.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,330000.0,120.0
331,0.15,7100,POOL,1,Subdivision 1,TX0,1231 Main St,City1,ZIP2-31,ZIP3-31,ROOFTOP,CO231,Condo,Residential,1956,Y,Gas,1462,1662,1562,1412,Actual,1512,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,231.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,331000.0,121.0
332,0.2,7200,NO POOL,2,Subdivision 2,TX1,1232 Main St,City2,ZIP2-32,ZIP3-32,ROOFTOP,CO232,Single Family,Residential,1957,Y,Electric,1464,1664,1564,1414,Actual,1514,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,232.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,332000.0,122.0
333,0.25,7300,POOL,3,Subdivision 3,TX2,1233 Main St,City3,ZIP2-33,ZIP3-33,ROOFTOP,CO233,Condo,Residential,1958,Y,Electric,1466,1666,1566,1416,Actual,1516,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,233.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,333000.0,123.0
334,0.3,7400,NO POOL,4,Subdivision 4,TX0,1234 Main St,City4,ZIP2-34,ZIP3-34,ROOFTOP,CO234,Single Family,Residential,1959,Y,Gas,1468,1668,1568,1418,Actual,1518,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,234.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,334000.0,124.0
335,0.35,7500,POOL,5,Subdivision 0,TX1,1235 Main St,City5,ZIP2-35,ZIP3-35,ROOFTOP,CO235,Condo,Residential,1960,Y,Electric,1470,1670,1570,1420,Actual,1520,3,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,235.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,335000.0,125.0
336,0.4,7600,NO POOL,6,Subdivision 1,TX2,1236 Main St,City6,ZIP2-36,ZIP3-36,ROOFTOP,CO236,Single Family,Residential,1961,Y,Electric,1472,1672,1572,1422,Actual,1522,4,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,236.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,336000.0,126.0
337,0.45,7700,POOL,7,Subdivision 2,TX0,1237 Main St,City7,ZIP2-37,ZIP3-37,ROOFTOP,CO237,Condo,Residential,1962,Y,Gas,1474,1674,1574,1424,Actual,1524,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,237.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,337000.0,127.0
338,0.5,7800,NO POOL,8,Subdivision 3,TX1,1238 Main St,City8,ZIP2-38,ZIP3-38,ROOFTOP,CO238,Single Family,Residential,1963,Y,Electric,1476,1676,1576,1426,Actual,1526,3,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,238.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,338000.0,128.0
339,0.55,7900,POOL,9,Subdivision 4,TX2,1239 Main St,City9,ZIP2-39,ZIP3-39,ROOFTOP,CO239,Condo,Residential,1964,Y,Electric,1478,1678,1578,1428,Actual,1528,4,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,239.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,339000.0,129.0
340,0.1,8000,NO POOL,0,Subdivision 0,TX0,1240 Main St,City0,ZIP2-40,ZIP3-40,ROOFTOP,CO240,Single Family,Residential,1965,N,Gas,1480,1680,1580,1430,Actual,1530,2,2.5,0.0,Finished,Y,Wood,Frame,Asphalt,Gable,Siding,Attached,240.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,340000.0,100.0
341,0.15,8100,POOL,1,Subdivision 1,TX1,1241 Main St,City1,ZIP2-41,ZIP3-41,ROOFTOP,CO241,Condo,Residential,1966,Y,Electric,1482,1682,1582,1432,Actual,1532,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,241.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,341000.0,101.0
342,0.2,8200,NO POOL,2,Subdivision 2,TX2,1242 Main St,City2,ZIP2-42,ZIP3-42,ROOFTOP,CO242,Single Family,Residential,1967,Y,Electric,1484,1684,1584,1434,Actual,1534,4,2.5,500.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,242.0,3,Garage,Ranch,House,TypeA,3,Average,One Story,NONE,Full,342000.0,102.0
343,0.25,8300,POOL,3,Subdivision 3,TX0,1243 Main St,City3,ZIP2-43,ZIP3-43,ROOFTOP,CO243,Condo,Residential,1968,Y,Gas,1486,1686,1586,1436,Actual,1536,2,3.0,500.0,Finished,N,Gas,Frame,Asphalt,Gable,Siding,Attached,243.0,1,Garage,Colonial,House,TypeA,1,Average,Two Story,NONE,Full,343000.0,103.0
344,0.3,8400,NO POOL,4,Subdivision 4,TX1,1244 Main St,City4,ZIP2-44,ZIP3-44,ROOFTOP,CO244,Single Family,Residential,1969,Y,Electric,1488,1688,1588,1438,Actual,1538,3,2.5,0.0,Unfinished,N,Wood,Frame,Asphalt,Gable,Siding,Detached,244.0,2,Garage,Ranch,House,TypeA,2,Average,One Story,NONE,Full,344000.0,104.0
345,0.35,8500,POOL,5,Subdivision 0,TX2,1245 Main St,City5,ZIP2-45,ZIP3-45,ROOFTOP,CO245,Condo,Residential,1970,Y,Electric,1490,1690,1590,1440,Actual,1540,4,3.0,500.0,Unfinished,Y,Gas,Frame,Asphalt,Gable,Siding,Detached,245.0,3,Garage,Colonial,House,TypeA,3,Average,Two Story,NONE,Full,345000.0,105.0
346,0.4,8600,NO POOL,6,Subdivision 1,TX0,1246 Main St,City6,ZIP2-46,ZIP3-46,ROOFTOP,CO246,Single Family,Residential,1971,Y,Gas,1492,1692,1592,1442,Actual,1542,2,2.5,500.0,Finished,N,Wood,Frame,Asphalt,Gable,Siding,Attached,246.0,1,Garage,Ranch,House,TypeA,1,Average,One Story,NONE,Full,346000.0,106.0
347,0.45,8700,POOL,7,Subdivision 2,TX1,1247 Main St,City7,ZIP2-47,ZIP3-47,ROOFTOP,CO247,Condo,Residential,1972,Y,Electric,1494,1694,1594,1444,Actual,1544,3,3.0,500.0,Unfinished,N,Gas,Frame,Asphalt,Gable,Siding,Detached,247.0,2,Garage,Colonial,House,TypeA,2,Average,Two Story,NONE,Full,347000.0,107.0
